기업명,연도,보고서유형,성별,정규직,계약직,총급여
KG스틸,2022,반기보고서,여,0.0,0.0,2139000000.0
KG스틸,2022,사업보고서,남,0.0,0.0,93502000000.0
KG스틸,2022,사업보고서,여,0.0,0.0,4107000000.0
KG스틸,2023,반기보고서,남,0.0,0.0,48231000000.0
KG스틸,2023,반기보고서,여,0.0,0.0,2229000000.0
KG스틸,2023,사업보고서,남,0.0,0.0,95777000000.0
KG스틸,2023,사업보고서,여,0.0,0.0,4325000000.0
KG케미칼,2022,반기보고서,남,0.0,0.0,5803000000.0
KG케미칼,2022,반기보고서,여,0.0,0.0,546000000.0
KG케미칼,2022,사업보고서,남,0.0,0.0,11755000000.0
KG케미칼,2022,사업보고서,여,0.0,0.0,1172000000.0
KG케미칼,2023,반기보고서,남,0.0,0.0,6439000000.0
KG케미칼,2023,반기보고서,여,0.0,0.0,813000000.0
KG케미칼,2023,사업보고서,남,0.0,0.0,12267000000.0
KG케미칼,2023,사업보고서,여,0.0,0.0,1477000000.0
KH 필룩스,2022,반기보고서,남,0.0,0.0,3368005000.0
KH 필룩스,2022,반기보고서,여,0.0,0.0,639837000.0
KH 필룩스,2022,사업보고서,남,0.0,0.0,6505948000.0
KH 필룩스,2022,사업보고서,여,0.0,0.0,1178151000.0
KH 필룩스,2023,반기보고서,남,0.0,0.0,3000641000.0
KH 필룩스,2023,반기보고서,여,0.0,0.0,514936000.0
KH 필룩스,2023,사업보고서,남,0.0,0.0,5526601000.0
KH 필룩스,2023,사업보고서,여,0.0,0.0,1239860000.0
KISCO홀딩스,2022,반기보고서,남,0.0,0.0,975000000.0
KISCO홀딩스,2022,반기보고서,여,0.0,0.0,158000000.0
KISCO홀딩스,2022,사업보고서,남,0.0,0.0,2954000000.0
KISCO홀딩스,2022,사업보고서,여,0.0,0.0,474000000.0
KISCO홀딩스,2023,반기보고서,남,0.0,0.0,1202000000.0
KISCO홀딩스,2023,반기보고서,여,0.0,0.0,204000000.0
KISCO홀딩스,2023,사업보고서,남,0.0,0.0,3272000000.0
KISCO홀딩스,2023,사업보고서,여,0.0,0.0,573000000.0
