corp_name,시장구분,종목코드,업종,상장일,결산월,지역,corp_name,corp_code
이월드,유가,84680,귀금속 및 장신용품 제조업,2005-07-26,12월,대구광역시,이월드,"""00540605"""
동양고속,유가,84670,육상 여객 운송업,2005-07-25,12월,경기도,동양고속,"""00540641"""
한미반도체,유가,42700,특수 목적용 기계 제조업,2005-07-22,12월,인천광역시,한미반도체,"""00161383"""
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도,동일산업,"""00238588"""
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도,동일산업,"""00118336"""
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도,동일산업,"""00118354"""
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도,동일산업,"""00172936"""
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도,동일산업,"""00565862"""
삼호개발,유가,10960,기반조성 및 시설물 축조관련 전문공사업,2005-05-12,12월,충청남도,삼호개발,"""00128980"""
금호타이어,유가,73240,고무제품 제조업,2005-02-17,12월,광주광역시,금호타이어,"""00481454"""
CJ CGV,유가,79160,"영화, 비디오물, 방송프로그램 제작 및 배급업",2004-12-24,12월,서울특별시,CJ CGV,"""00303873"""
일진다이아,유가,81000,기타 화학제품 제조업,2004-12-22,12월,충청북도,일진다이아,"""00508274"""
유니드,유가,14830,기초 화학물질 제조업,2004-12-03,12월,서울특별시,유니드,"""00159786"""
상신브레이크,유가,41650,자동차 신품 부품 제조업,2004-10-27,12월,대구광역시,상신브레이크,"""00129642"""
인팩,유가,23810,자동차 신품 부품 제조업,2004-09-21,12월,서울특별시,인팩,"""00180795"""
GS,유가,78930,기타 금융업,2004-08-05,12월,서울특별시,GS,"""00500254"""
유니퀘스트,유가,77500,기계장비 및 관련 물품 도매업,2004-08-05,12월,경기도,유니퀘스트,"""00414601"""
다스코,유가,58730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,12월,전라남도,다스코,"""00916394"""
다스코,유가,58730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,12월,전라남도,다스코,"""00353878"""
다스코,유가,58730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,12월,전라남도,다스코,"""01464108"""
LG디스플레이,유가,34220,전자부품 제조업,2004-07-23,12월,서울특별시,LG디스플레이,"""00105873"""
텔코웨어,유가,78000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2004-07-20,12월,서울특별시,텔코웨어,"""00361488"""
STX엔진,유가,77970,일반 목적용 기계 제조업,2004-05-10,12월,경상남도,STX엔진,"""00480455"""
NICE,유가,34310,회사 본부 및 경영 컨설팅 서비스업,2004-02-04,12월,서울특별시,NICE,"""00158316"""
대교,유가,19680,초등 교육기관,2004-02-03,12월,서울특별시,대교,"""00962348"""
대교,유가,19680,초등 교육기관,2004-02-03,12월,서울특별시,대교,"""00108913"""
기업은행,유가,24110,은행 및 저축기관,2003-12-24,12월,서울특별시,기업은행,"""00149646"""
이엔플러스,유가,74610,일반 목적용 기계 제조업,2003-12-23,12월,경기도,이엔플러스,"""00469799"""
한솔홈데코,유가,25750,제재 및 목재 가공업,2003-11-04,12월,서울특별시,한솔홈데코,"""00203582"""
이수페타시스,유가,7660,전자부품 제조업,2003-10-07,12월,대구광역시,이수페타시스,"""00107613"""
강원랜드,유가,35250,유원지 및 기타 오락관련 서비스업,2003-09-04,12월,강원특별자치도,강원랜드,"""00255619"""
YG PLUS,유가,37270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-08-01,12월,서울특별시,YG PLUS,"""00249247"""
농심홀딩스,유가,72710,기타 금융업,2003-07-30,12월,서울특별시,농심홀딩스,"""00459871"""
한국금융지주,유가,71050,기타 금융업,2003-07-21,12월,서울특별시,한국금융지주,"""00432102"""
유엔젤,유가,72130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-07-01,12월,경기도,유엔젤,"""00416654"""
SBS,유가,34120,텔레비전 방송업,2003-06-25,12월,서울특별시,SBS,"""00130772"""
엔씨소프트,유가,36570,소프트웨어 개발 및 공급업,2003-05-22,12월,서울특별시,엔씨소프트,"""00261443"""
하이스틸,유가,71090,1차 철강 제조업,2003-02-17,12월,충청남도,하이스틸,"""00435312"""
DSR제강,유가,69730,1차 철강 제조업,2003-01-28,12월,전라남도,DSR제강,"""00151298"""
태경케미컬,유가,6890,기초 화학물질 제조업,2003-01-28,12월,서울특별시,태경케미컬,"""00109161"""
한농화성,유가,11500,기타 화학제품 제조업,2003-01-09,12월,전북특별자치도,한농화성,"""00160861"""
현대백화점,유가,69960,종합 소매업,2002-11-25,12월,서울특별시,현대백화점,"""00428251"""
대호에이엘,유가,69460,1차 비철금속 제조업,2002-11-11,12월,대구광역시,대호에이엘,"""00428729"""
대웅제약,유가,69620,의약품 제조업,2002-11-01,12월,경기도,대웅제약,"""00427483"""
마니커,유가,27740,"도축, 육류 가공 및 저장 처리업",2002-10-29,12월,경기도,마니커,"""00204208"""
SNT홀딩스,유가,36530,기타 금융업,2002-10-22,12월,서울특별시,SNT홀딩스,"""00225159"""
티케이지휴켐스,유가,69260,기타 화학제품 제조업,2002-10-07,12월,서울특별시,티케이지휴켐스,"""00426086"""
SJG세종,유가,33530,자동차 신품 부품 제조업,2002-09-25,12월,울산광역시,SJG세종,"""00134510"""
포스코스틸리온,유가,58430,1차 철강 제조업,2002-08-16,12월,경상북도,포스코스틸리온,"""00155258"""
삼성출판사,유가,68290,"서적, 잡지 및 기타 인쇄물 출판업",2002-08-05,12월,서울특별시,삼성출판사,"""00423690"""
세이브존I&C,유가,67830,종합 소매업,2002-07-25,12월,서울특별시,세이브존I&C,"""00422895"""
교보증권,유가,30610,금융 지원 서비스업,2002-07-18,12월,서울특별시,교보증권,"""00113359"""
한샘,유가,9240,생활용품 도매업,2002-07-16,12월,경기도,한샘,"""00161693"""
우신시스템,유가,17370,특수 목적용 기계 제조업,2002-05-28,12월,서울특별시,우신시스템,"""00142883"""
LG전자,유가,66570,통신 및 방송 장비 제조업,2002-04-22,12월,서울특별시,LG전자,"""00401731"""
콜마홀딩스,유가,24720,기타 금융업,2002-04-09,12월,세종특별자치시,콜마홀딩스,"""00203290"""
SNT모티브,유가,64960,자동차 신품 부품 제조업,2002-03-11,12월,부산광역시,SNT모티브,"""00398792"""
광주신세계,유가,37710,종합 소매업,2002-02-07,12월,광주광역시,광주신세계,"""00220561"""
일진디스플,유가,20760,반도체 제조업,2002-01-09,12월,충청북도,일진디스플,"""00198697"""
KH 필룩스,유가,33180,전자부품 제조업,2001-12-26,12월,경기도,KH 필룩스,"""00193009"""
종근당바이오,유가,63160,의약품 제조업,2001-12-11,12월,서울특별시,종근당바이오,"""00390055"""
신한지주,유가,55550,기타 금융업,2001-09-10,12월,서울특별시,신한지주,"""00382199"""
코웨이,유가,21240,그외 기타 개인 서비스업,2001-08-07,12월,충청남도,코웨이,"""00170558"""
세아홀딩스,유가,58650,1차 철강 제조업,2001-07-30,12월,서울특별시,세아홀딩스,"""00377610"""
LG생활건강,유가,51900,기타 화학제품 제조업,2001-04-25,12월,서울특별시,LG생활건강,"""00356370"""
LG화학,유가,51910,기초 화학물질 제조업,2001-04-25,12월,서울특별시,LG화학,"""00356361"""
대우건설,유가,47040,건물 건설업,2001-03-23,12월,서울특별시,대우건설,"""00124540"""
포스코인터내셔널,유가,47050,상품 중개업,2001-03-23,12월,서울특별시,포스코인터내셔널,"""00124504"""
HD현대인프라코어,유가,42670,특수 목적용 기계 제조업,2001-02-02,12월,인천광역시,HD현대인프라코어,"""00344287"""
한화오션,유가,42660,선박 및 보트 건조업,2001-02-02,12월,경상남도,한화오션,"""00111704"""
