회사명,시장구분,종목코드,업종,상장일,결산월,지역
디앤씨미디어,코스닥,263720,"서적, 잡지 및 기타 인쇄물 출판업",2017-08-01,12월,서울특별시
루켄테크놀러지스,코넥스,162120,기타 전기장비 제조업,2017-07-25,12월,경기도
힘스,코스닥,238490,특수 목적용 기계 제조업,2017-07-20,12월,인천광역시
제일약품,유가,271980,의약품 제조업,2017-07-17,12월,서울특별시
브이원텍,코스닥,251630,특수 목적용 기계 제조업,2017-07-13,12월,경기도
아우딘퓨쳐스,코스닥,227610,기타 화학제품 제조업,2017-07-12,12월,서울특별시
이녹스첨단소재,코스닥,272290,전자부품 제조업,2017-07-10,12월,충청남도
카카오,유가,35720,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2017-07-10,12월,제주특별자치도
오리온,유가,271560,기타 식품 제조업,2017-07-07,12월,서울특별시
하림지주,코스닥,3380,기타 금융업,2017-06-30,12월,전북특별자치도
덴티스,코스닥,261200,의료용 기기 제조업,2017-06-26,12월,대구광역시
메디안디노스틱,코넥스,233250,의료용품 및 기타 의약 관련제품 제조업,2017-06-26,12월,강원특별자치도
나인테크,코스닥,267320,특수 목적용 기계 제조업,2017-06-22,12월,경기도
에스알바이오텍,코넥스,270210,기타 화학제품 제조업,2017-06-15,12월,경기도
뿌리깊은나무들,코넥스,266170,"영화, 비디오물, 방송프로그램 제작 및 배급업",2017-06-09,12월,서울특별시
보라티알,코스닥,250000,음·식료품 및 담배 도매업,2017-06-08,12월,서울특별시
매일유업,코스닥,267980,동·식물성 유지 및 낙농제품 제조업,2017-06-05,12월,서울특별시
LK삼양,코스닥,225190,사진장비 및 광학기기 제조업,2017-06-02,12월,경상남도
이랜시스,코스닥,264850,전자부품 제조업,2017-06-01,12월,인천광역시
필옵틱스,코스닥,161580,특수 목적용 기계 제조업,2017-06-01,12월,경기도
미원에스씨,유가,268280,기초 화학물질 제조업,2017-05-22,12월,전북특별자치도
경동도시가스,유가,267290,연료용 가스 제조 및 배관공급업,2017-05-12,12월,울산광역시
넷마블,유가,251270,소프트웨어 개발 및 공급업,2017-05-12,12월,서울특별시
HD현대,유가,267250,기타 금융업,2017-05-10,12월,경기도
HD현대건설기계,유가,267270,일반 목적용 기계 제조업,2017-05-10,12월,경기도
HD현대일렉트릭,유가,267260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2017-05-10,12월,경기도
포인트엔지니어링,코스닥,256630,기타 금속 가공제품 제조업,2017-05-02,12월,충청남도
하나머티리얼즈,코스닥,166090,반도체 제조업,2017-04-28,12월,충청남도
소프트캠프,코스닥,258790,소프트웨어 개발 및 공급업,2017-04-27,12월,경기도
와이엠티,코스닥,251370,기초 화학물질 제조업,2017-04-27,12월,인천광역시
파워풀엑스,코넥스,266870,기타 화학제품 제조업,2017-04-24,12월,서울특별시
크라운제과,유가,264900,"떡, 빵 및 과자류 제조업",2017-04-11,12월,서울특별시
AP시스템,코스닥,265520,특수 목적용 기계 제조업,2017-04-07,12월,경기도
유에스티,코스닥,263770,1차 철강 제조업,2017-04-06,12월,경상북도
이엘피,코스닥,63760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2017-04-06,12월,경기도
유비쿼스,코스닥,264450,통신 및 방송 장비 제조업,2017-03-31,12월,경기도
서진시스템,코스닥,178320,기타 전기장비 제조업,2017-03-27,12월,경기도
코미코,코스닥,183300,특수 목적용 기계 제조업,2017-03-23,12월,경기도
아스타,코스닥,246720,의료용품 및 기타 의약 관련제품 제조업,2017-03-20,12월,경기도
덴티움,유가,145720,의료용 기기 제조업,2017-03-15,12월,경기도
에스디생명공학,코스닥,217480,기타 화학제품 제조업,2017-03-02,12월,서울특별시
신신제약,코스닥,2800,의약품 제조업,2017-02-28,12월,세종특별자치시
에프엔에스테크,코스닥,83500,특수 목적용 기계 제조업,2017-02-27,12월,충청남도
모바일어플라이언스,코스닥,87260,소프트웨어 개발 및 공급업,2017-02-24,12월,경기도
피씨엘,코스닥,241820,의료용품 및 기타 의약 관련제품 제조업,2017-02-23,12월,서울특별시
호전실업,유가,111110,봉제의복 제조업,2017-02-02,12월,서울특별시
서플러스글로벌,코스닥,140070,기계장비 및 관련 물품 도매업,2017-01-25,12월,경기도
유바이오로직스,코스닥,206650,의약품 제조업,2017-01-24,12월,서울특별시
도부,코넥스,227420,직물직조 및 직물제품 제조업,2016-12-28,12월,경기도
한국비엔씨,코스닥,256840,기초 의약물질 제조업,2016-12-28,12월,대구광역시
DSC인베스트먼트,코스닥,241520,신탁업 및 집합투자업,2016-12-19,12월,서울특별시
TS인베스트먼트,코스닥,246690,신탁업 및 집합투자업,2016-12-15,12월,서울특별시
피엠티,코스닥,147760,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2016-12-12,12월,충청남도
바이오프로테크,코넥스,199290,의료용 기기 제조업,2016-12-08,12월,강원특별자치도
HLB펩,코스닥,196300,기초 의약물질 제조업,2016-12-07,12월,광주광역시
유니온바이오메트릭스,코스닥,203450,통신 및 방송 장비 제조업,2016-12-07,12월,서울특별시
신라젠,코스닥,215600,자연과학 및 공학 연구개발업,2016-12-06,12월,서울특별시
자비스,코스닥,254120,특수 목적용 기계 제조업,2016-12-02,12월,경기도
핸즈코퍼레이션,유가,143210,자동차 신품 부품 제조업,2016-12-02,12월,인천광역시
티이엠씨씨엔에스,코스닥,241790,특수 목적용 기계 제조업,2016-12-01,12월,경기도
퓨쳐켐,코스닥,220100,의약품 제조업,2016-12-01,12월,서울특별시
뉴파워프라즈마,코스닥,144960,특수 목적용 기계 제조업,2016-11-30,12월,경기도
엘앤케이바이오,코스닥,156100,의료용 기기 제조업,2016-11-30,12월,경기도
핸디소프트,코스닥,220180,소프트웨어 개발 및 공급업,2016-11-24,12월,경기도
두산밥캣,유가,241560,특수 목적용 기계 제조업,2016-11-18,12월,경기도
삼성바이오로직스,유가,207940,기초 의약물질 제조업,2016-11-10,12월,인천광역시
클리오,코스닥,237880,기타 화학제품 제조업,2016-11-09,12월,서울특별시
오가닉티코스메틱,코스닥,900300,기타 금융업,2016-11-04,12월,홍콩
얼라인드,코스닥,238120,사진장비 및 광학기기 제조업,2016-11-03,12월,경기도
세화피앤씨,코스닥,252500,기타 화학제품 제조업,2016-11-02,12월,충청북도
아이티센코어,코넥스,243870,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2016-10-31,12월,경기도
인크로스,코스닥,216050,광고업,2016-10-31,12월,서울특별시
에이치엘사이언스,코스닥,239610,기타 식품 제조업,2016-10-28,12월,경기도
코스메카코리아,코스닥,241710,기타 화학제품 제조업,2016-10-28,12월,충청북도
JW생명과학,유가,234080,의약품 제조업,2016-10-27,12월,충청남도
GRT,코스닥,900290,기타 금융업,2016-10-25,06월,홍콩
안지오랩,코넥스,251280,자연과학 및 공학 연구개발업,2016-10-25,12월,대전광역시
인텔리안테크,코스닥,189300,통신 및 방송 장비 제조업,2016-10-18,12월,경기도
에이치시티,코스닥,72990,기타 과학기술 서비스업,2016-10-17,12월,경기도
잉글우드랩,코스닥,950140,기타 화학제품 제조업,2016-10-14,12월,미국
앤디포스,코스닥,238090,플라스틱제품 제조업,2016-10-12,12월,충청북도
수산아이앤티,코스닥,50960,소프트웨어 개발 및 공급업,2016-10-11,12월,서울특별시
미투온,코스닥,201490,소프트웨어 개발 및 공급업,2016-10-10,12월,서울특별시
화승엔터프라이즈,유가,241590,신발 및 신발 부분품 제조업,2016-10-04,12월,부산광역시
예선테크,코스닥,250930,플라스틱제품 제조업,2016-09-29,12월,경기도
LS에코에너지,유가,229640,기타 금융업,2016-09-22,12월,강원특별자치도
스타에스엠리츠,유가,204210,부동산 임대 및 공급업,2016-09-22,12월,서울특별시
유니테크노,코스닥,241690,자동차 신품 부품 제조업,2016-09-20,12월,부산광역시
모비스,코스닥,250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2016-09-08,12월,경기도
나무기술,코스닥,242040,소프트웨어 개발 및 공급업,2016-09-07,12월,서울특별시
자이글,코스닥,234920,가정용 기기 제조업,2016-09-06,12월,서울특별시
일동제약,유가,249420,의약품 제조업,2016-08-31,12월,서울특별시
헝셩그룹,코스닥,900270,기타 금융업,2016-08-18,12월,홍콩
샘표식품,유가,248170,기타 식품 제조업,2016-08-09,12월,서울특별시
에코마케팅,코스닥,230360,광고업,2016-08-08,12월,서울특별시
블루탑,코넥스,191600,전자부품 제조업,2016-08-05,12월,인천광역시
두올,유가,16740,자동차 신품 부품 제조업,2016-07-29,12월,서울특별시
엔지스테크널러지,코스닥,208860,소프트웨어 개발 및 공급업,2016-07-28,12월,서울특별시
우리손에프앤지,코스닥,73560,"도축, 육류 가공 및 저장 처리업",2016-07-27,12월,전라남도
오건에코텍,코넥스,212310,의료용 기기 제조업,2016-07-26,12월,경기도
아이윈플러스,코스닥,123010,전자부품 제조업,2016-07-20,12월,충청북도
제노텍,코넥스,66830,기타 화학제품 제조업,2016-07-18,12월,대전광역시
동서,유가,26960,음·식료품 및 담배 도매업,2016-07-15,12월,서울특별시
장원테크,코스닥,174880,통신 및 방송 장비 제조업,2016-07-15,12월,경상북도
한국자산신탁,유가,123890,신탁업 및 집합투자업,2016-07-13,12월,서울특별시
한국토지신탁,유가,34830,신탁업 및 집합투자업,2016-07-11,12월,서울특별시
모아라이프플러스,코스닥,142760,자연과학 및 공학 연구개발업,2016-07-07,12월,경기도
피앤씨테크,코스닥,237750,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2016-07-04,12월,경기도
로스웰,코스닥,900260,기타 금융업,2016-06-30,12월,홍콩
씨앤에스링크,코넥스,245450,통신 및 방송 장비 제조업,2016-06-24,12월,경기도
해성디에스,유가,195870,전자부품 제조업,2016-06-24,12월,경상남도
에스티팜,코스닥,237690,의약품 제조업,2016-06-23,12월,경기도
지씨셀,코스닥,144510,"그외 기타 전문, 과학 및 기술 서비스업",2016-06-23,12월,경기도
알엔투테크놀로지,코스닥,148250,전자부품 제조업,2016-06-22,12월,경기도
이비테크,코넥스,208850,기타 전기장비 제조업,2016-06-22,12월,대전광역시
이스트에이드,코스닥,239340,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2016-06-09,12월,서울특별시
휴온스,코스닥,243070,의약품 제조업,2016-06-03,12월,경기도
나눔테크,코넥스,244880,의료용 기기 제조업,2016-06-01,12월,광주광역시
KC산업,코넥스,112190,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-05-31,12월,경기도
모나용평,유가,70960,일반 및 생활 숙박시설 운영업,2016-05-27,12월,강원특별자치도
해태제과식품,유가,101530,기타 식품 제조업,2016-05-11,12월,충청남도
원익IPS,코스닥,240810,특수 목적용 기계 제조업,2016-05-02,12월,경기도
로보쓰리에이아이,코넥스,238500,"그외 기타 전문, 과학 및 기술 서비스업",2016-04-20,12월,서울특별시
레이언스,코스닥,228850,의료용 기기 제조업,2016-04-11,12월,경기도
동양파일,코스닥,228340,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-04-06,12월,충청남도
삼일씨엔에스,유가,4440,"시멘트, 석회, 플라스터 및 그 제품 제조업",2016-03-30,12월,경기도
팬젠,코스닥,222110,의약품 제조업,2016-03-11,12월,경기도
AP위성,코스닥,211270,통신 및 방송 장비 제조업,2016-03-04,12월,서울특별시
비유테크놀러지,코스닥,230980,소프트웨어 개발 및 공급업,2016-03-02,12월,부산광역시
큐리언트,코스닥,115180,자연과학 및 공학 연구개발업,2016-02-29,12월,경기도
안트로젠,코스닥,65660,기타 전문 도매업,2016-02-15,12월,서울특별시
슈프리마,코스닥,236200,통신 및 방송 장비 제조업,2016-02-05,12월,경기도
제이에스코퍼레이션,유가,194370,"가죽, 가방 및 유사제품 제조업",2016-02-04,12월,서울특별시
유니트론텍,코스닥,142210,자동차 부품 및 내장품 판매업,2016-02-02,12월,서울특별시
크리스탈신소재,코스닥,900250,기타 금융업,2016-01-28,12월,케이맨 제도
메디젠휴먼케어,코넥스,236340,자연과학 및 공학 연구개발업,2016-01-26,12월,서울특별시
볼빅,코넥스,206950,운동 및 경기용구 제조업,2015-12-30,12월,충청북도
이엠티,코넥스,232530,일차전지 및 이차전지 제조업,2015-12-30,12월,충청북도
더코디,코스닥,224060,특수 목적용 기계 제조업,2015-12-29,12월,충청남도
에스와이,코스닥,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",2015-12-29,12월,경기도
질경이,코넥스,233990,기타 화학제품 제조업,2015-12-29,12월,서울특별시
잇츠한불,유가,226320,기타 화학제품 제조업,2015-12-28,12월,서울특별시
크로넥스,코넥스,215570,자연과학 및 공학 연구개발업,2015-12-28,12월,경기도
사토시홀딩스,코스닥,223310,상품 종합 도매업,2015-12-24,12월,서울특별시
와이씨,코스닥,232140,특수 목적용 기계 제조업,2015-12-24,12월,경기도
육일씨엔에쓰,코스닥,191410,전자부품 제조업,2015-12-24,12월,서울특별시
휴젤,코스닥,145020,기초 의약물질 제조업,2015-12-24,12월,강원특별자치도
한국맥널티,코스닥,222980,기타 식품 제조업,2015-12-23,12월,충청남도
덱스터,코스닥,206560,"영화, 비디오물, 방송프로그램 제작 및 배급업",2015-12-22,12월,서울특별시
