회사명,시장구분,종목코드,업종,상장일,결산월,지역
포스코DX,유가,22100,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024-01-02,12월,경상북도
DS단석,유가,17860,기타 화학제품 제조업,2023-12-22,12월,경기도
IBKS제23호스팩,코스닥,467930,금융 지원 서비스업,2023-12-22,12월,서울특별시
하나30호스팩,코스닥,469880,금융 지원 서비스업,2023-12-22,12월,서울특별시
씨싸이트,코스닥,109670,봉제의복 제조업,2023-12-21,12월,서울특별시
블루엠텍,코스닥,439580,기타 전문 도매업,2023-12-13,12월,경기도
LS머트리얼즈,코스닥,417200,전자부품 제조업,2023-12-12,12월,경기도
케이엔에스,코스닥,432470,특수 목적용 기계 제조업,2023-12-06,12월,경기도
교보15호스팩,코스닥,465320,금융 지원 서비스업,2023-12-05,12월,서울특별시
와이바이오로직스,코스닥,338840,자연과학 및 공학 연구개발업,2023-12-05,12월,대전광역시
에이텀,코스닥,355690,전자부품 제조업,2023-12-01,12월,서울특별시
엔에이치스팩30호,코스닥,466910,금융 지원 서비스업,2023-12-01,12월,서울특별시
에이에스텍,코스닥,453860,기타 화학제품 제조업,2023-11-28,12월,충청남도
그린리소스,코스닥,402490,반도체 제조업,2023-11-24,12월,인천광역시
제이엔비,코스닥,452160,특수 목적용 기계 제조업,2023-11-24,12월,경기도
한선엔지니어링,코스닥,452280,기타 금속 가공제품 제조업,2023-11-24,12월,부산광역시
동인기연,유가,111380,"가죽, 가방 및 유사제품 제조업",2023-11-21,12월,경기도
에코아이,코스닥,448280,기타 전문 서비스업,2023-11-21,12월,서울특별시
스톰테크,코스닥,352090,플라스틱제품 제조업,2023-11-20,12월,서울특별시
에코프로머티,유가,450080,일차전지 및 이차전지 제조업,2023-11-17,12월,경상북도
캡스톤파트너스,코스닥,452300,기타 금융업,2023-11-15,12월,서울특별시
프로젠,코넥스,296160,자연과학 및 공학 연구개발업,2023-11-15,12월,서울특별시
에스와이스틸텍,코스닥,365330,"구조용 금속제품, 탱크 및 증기발생기 제조업",2023-11-13,12월,충청북도
에이직랜드,코스닥,445090,반도체 제조업,2023-11-13,12월,경기도
한국제13호스팩,코스닥,464440,금융 지원 서비스업,2023-11-13,12월,서울특별시
메가터치,코스닥,446540,일차전지 및 이차전지 제조업,2023-11-09,12월,충청남도
비아이매트릭스,코스닥,413640,소프트웨어 개발 및 공급업,2023-11-09,12월,서울특별시
컨텍,코스닥,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2023-11-09,12월,대전광역시
큐로셀,코스닥,372320,자연과학 및 공학 연구개발업,2023-11-09,12월,대전광역시
쏘닉스,코스닥,88280,반도체 제조업,2023-11-07,12월,경기도
KB제27호스팩,코스닥,464680,금융 지원 서비스업,2023-11-03,12월,서울특별시
세니젠,코스닥,188260,그외 기타 제품 제조업,2023-11-03,12월,경기도
신시웨이,코스닥,290560,소프트웨어 개발 및 공급업,2023-11-03,12월,서울특별시
유진테크놀로지,코스닥,240600,기타 금속 가공제품 제조업,2023-11-02,12월,충청북도
유투바이오,코스닥,221800,기타 과학기술 서비스업,2023-11-02,12월,서울특별시
퀄리타스반도체,코스닥,432720,반도체 제조업,2023-10-27,12월,경기도
미쥬,코넥스,351020,봉제의복 제조업,2023-10-26,12월,서울특별시
워트,코스닥,396470,특수 목적용 기계 제조업,2023-10-26,12월,경기도
에스엘에스바이오,코스닥,246250,"그외 기타 전문, 과학 및 기술 서비스업",2023-10-20,12월,경기도
신성에스티,코스닥,416180,자동차 신품 부품 제조업,2023-10-19,12월,경상남도
퓨릿,코스닥,445180,기초 화학물질 제조업,2023-10-18,12월,경상북도
바이오텐,코넥스,289170,기타 식품 제조업,2023-10-13,12월,전북특별자치도
에이치엠씨제6호스팩,코스닥,462020,금융 지원 서비스업,2023-10-13,12월,서울특별시
아이엠티,코스닥,451220,특수 목적용 기계 제조업,2023-10-10,12월,경기도
레뷰코퍼레이션,코스닥,443250,광고업,2023-10-06,12월,서울특별시
두산로보틱스,유가,454910,특수 목적용 기계 제조업,2023-10-05,12월,경기도
신한제11호스팩,코스닥,452980,금융 지원 서비스업,2023-10-04,12월,서울특별시
한싹,코스닥,430690,소프트웨어 개발 및 공급업,2023-10-04,12월,서울특별시
KT밀리의서재,코스닥,418470,"서적, 잡지 및 기타 인쇄물 출판업",2023-09-27,12월,서울특별시
인스웨이브,코스닥,450520,소프트웨어 개발 및 공급업,2023-09-25,12월,서울특별시
우듬지팜,코스닥,403490,"과실, 채소 가공 및 저장 처리업",2023-09-19,12월,충청남도
코어라인소프트,코스닥,384470,소프트웨어 개발 및 공급업,2023-09-18,12월,서울특별시
STX그린로지스,유가,465770,해상 운송업,2023-09-15,12월,부산광역시
상상인제4호스팩,코스닥,452670,금융 지원 서비스업,2023-09-14,12월,서울특별시
율촌,코스닥,146060,1차 철강 제조업,2023-09-08,12월,경기도
한화플러스제4호스팩,코스닥,455310,금융 지원 서비스업,2023-09-07,12월,서울특별시
대신밸런스제16호스팩,코스닥,457630,금융 지원 서비스업,2023-09-04,12월,서울특별시
유안타제11호스팩,코스닥,444920,금융 지원 서비스업,2023-09-01,12월,서울특별시
크라우드웍스,코스닥,355390,소프트웨어 개발 및 공급업,2023-08-31,12월,서울특별시
